NUM,Site,SiteNum,SITE_ID,SingleCollection,NewOld,NumCollections,ParsonsCollectionSheets,NumCollectionsAtSite,MissingCollections ,Notes,TempSite,Surveyor,Collections,East,North,Long,Lat,SurvReg,SurvRegNum,N_TX,TX,E_IX_Surrounds,XO_W_IX,CH_XO_IX,CH,CH_AM,Tenango,IX,IX_Surrounds,Confed,Pol_EA_num,Pol_LA_num,Pol_EA,Pol_LA,Collections,CA_Size1,CA_Size2,Occu_EA,Occu_LA,Area_EA,Pop_EA,Area_LA,Pop_LA,BO_AzI_CHA,BO_AzI_MIX,BO_AzI_CUL,BO_AzI_WST,BO_AzI_IND,BO_AzI_TOT,BO_PDM_A,BO_PDM_A1,BO_PDM_A2,BO_PDM_A3,BO_PDM_A1c,BO_PDM_A2c,BO_PDM_A3c,BO_PDM_A1g,BO_PDM_A2g,BO_PDM_A3g,BO_PDM_A1_TOT,BO_PDM_A2_TOT,BO_PDM_A3_TOT,BO_PDM_Ac_TOT,BO_PDM_Ag_TOT,BO_PDM_A_TOT,BO_PDM_B,BO_PDM_B1,BO_PDM_B2,BO_PDM_B_TOT,BO_PD_C,BO_PDM_IND_EA,BO_BOWL_A,BO_BOWL_A1,BO_BOWL_A2,BO_BOWL_A3,BO_BOWL_A4,BO_BOWL_A_TOT,BO_BOWL_B,BO_BOWL_C,BO_BOWL_G1,BO_BOWL_M,BO_BOWL_IND_EA,BO_BAS_A,BO_BAS_B,BO_BAS_C,BO_BAS_IND_EA,BO_A_TOT,BO_B_TOT,BO_C_TOT,AzII_BO,BO_PD_D,BO_PDM_D1D2,BO_PDM_D3,BO_PD_D4,BO_PDM_D_TOT,BO_PDM_E,BO_PDM_E1,BO_PDM_E2,BO_PDM_E3,BO_PDM_E4,BO_PDM_E_TOT,BO_PDM_F,BO_PDM_GR,BO_PDM_IND_LA,BO_DISH_P,BO_BOWL_D,BO_BOWL_E,BO_BOWL_F,BO_BOWL_G2,BO_BOWL_H,BO_BOWL_IND_LA,BO_BAS_D,BO_BAS_E,BO_BAS_F,BO_BAS_G,BO_BAS_H,BO_BAS_IND_LA,BO_PDM_IND,BO_BOWL_IND,BO_BAS_IND,BO_D_TOT,Az23_BO,BO_E_TOT,BO_F_TOT,BO_BowHBasG_TOT,AzIII_BO,AzIV_BO,CCPC_A,CCPC_B,CCPC_C,CCPC_D,CCPC_H,CCPC_I,CCPC_J,CCPC_K,AZPC_E,AZPC_F,AZPC_G,AZPC_L,BR_A,BR_B,BR_D,BR_E,BR_F,BR_G,BR_H,BR_I,BR_COPA_D,BR_EA_TOT,PR_COPA,BWR_AW,BWR_AW1,BWR_AW2,BWR_AW_TOT,BWR_AN,BWR_AN1,BWR_AN2,BWR_AN_TOT,BWR_A_TOT,BWR_B,BWR_B1,BWR_B2,BWR_B_TOT,BWR_C,BWR_C1,BWR_C2,BWR_C_TOT,BWR_D1,BWR_D2,BWR_D3,BWR_D_TOT,BWR_E1,BWR_E2,BWR_E3,BWR_E4,BWR_E_TOT,BWR_EA_TOT,BRI_A,BRI_B,BRI_C,BRI_D,BRI_PANEL,BRI_CANE,BRI_TOT,BR_C,BR_Late,BWR_Late,BWR_G,YR,BWYR,WR,GR,BRT
1,TX-A-1,1,1001,TRUE,Old,1,1,1,0,,TX-A-1,MHP 1967,1 collection without location #,504331.1762,2160939.246,-98.95871281,19.54325073,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,,3,,Texcoco,1,281,230,1,1,4,80,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,3,0,0,0,0,0,0,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,8,0,5,13,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1
2,TX-A-2,2,1002,TRUE,Old,1,1,1,0,,TX-A-2,MHP 1967,1 collection without location #,504951.1912,2161520.51,-98.95280096,19.54850225,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,,3,,Texcoco,1,50,50,0,1,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3,TX-A-3,3,1003,FALSE,Old,3,3,3,0,,TX-A-3,MHP 1967,"Tls. 2, 3, 4",504977.0251,2161946.77,-98.95255356,19.55235436,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,,3,,Texcoco,3,206,206,1,1,8,100,8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,3,1,5,0,0,3,0,0,3,1,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,5,5,3,2,0,11,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,1,0,1,0,3,0
4,TX-A-6,6,1006,FALSE,Old,3,3,3,0,,TX-A-6,MHP 1967,"TIs. 78, 79, 81",508025.432,2161610.929,-98.92349426,19.54930935,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,,3,,Texcoco,3,1102,1102,1,1,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,5,6,0,11,1,0,9,0,1,11,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,11,11,11,1,0,15,1,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,1,3,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,1,11,0,1,4,0,0,0,1,0
5,TX-A-9,9,1009,FALSE,Old,3,3,3,0,,TX-A-9,MHP 1967,"Tls. 15B-W, 15C, 15-E",508942.5374,2164103.906,-98.91473974,19.57183477,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,2,2,Chiautla,Chiautla,3,97,97,0,1,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,TX-A-10,10,1010,FALSE,Old,4,6,6,2,6 record sheets vs 4 HM collections but 2 missing have same names = Sample #6-E and Sample #6-W,TX-A-10,MHP 1967,"Tls. 6-E, 6-W, 7B, 10",510311.7371,2163884.317,-98.90168669,19.56984368,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,2,2,Chiautla,Chiautla,4,781,781,1,1,36,150,36,300,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,5,0,1,1,0,2,3,4,0,1,0,8,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,3,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0
,TX-A-10b,10.5,1010,FALSE,NEW,2,,,-2,6 record sheets vs 4 HM collections but 2 missing have same names = Sample #6-E and Sample #6-W,TX-A-10,MHP 1967,"Samples 6-E, 6-W",510311.7371,2163884.317,-98.90168669,19.56984368,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,TX-A-14,14,1014,FALSE,Old,2,2,2,0,,TX-A-14,MHP 1967,"Tls. 22, 22B",514554.9645,2162398.864,-98.86124282,19.55639291,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,2,2,Chiautla,Chiautla,2,862,862,1,1,15,150,15,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,1,1,0,2,0,0,0,0,2,1,0,0,1,0,1,0,1,5,1,1,7,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0
8,TX-A-16,16,1016,TRUE,Old,1,1,1,0,,TX-A-16,MHP 1967,Tl. 19,515149.1455,2163419.306,-98.8555701,19.56561031,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,2,2,Chiautla,Chiautla,1,491,491,1,1,6,200,6,200,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,3,0,1,2,3,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,4,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,TX-A-17,17,1017,FALSE,Old,4,6,5,2,Tl. 28 not in any site; 100 meters from TX-A-16; there is a chance that Tl. 28 and 29 are mixed up,TX-A-17,MHP 1967,"Tls. 28, 30, 35, 37",514303.0834,2164297.66,-98.86362965,19.57355435,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,2,2,Chiautla,Chiautla,4,2232,2232,1,1,115,300,115,600,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,3,0,1,2,4,0,0,0,0,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,1,9,0,0,3,0,3,0,1,0,0,0,1,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,7,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0
