HM_Class,Artifact,PlainDec,Ware,Type,Subtype,Form,HM_Var,HM_Subvar,HM_CalGeo,Complex,SummaryClass
BO_AzI_CHA,Ceramic Vessel,Decorated,Orangeware,BO,AzI,MBowl,Chalco,TOTAL,,AzI,FALSE
BO_AzI_MIX,Ceramic Vessel,Decorated,Orangeware,BO,AzI,DBowl,Mixquic,TOTAL,,AzI,FALSE
BO_AzI_CUL,Ceramic Vessel,Decorated,Orangeware,BO,AzI,DBowl,Culhuacan,TOTAL,,AzI,FALSE
BO_AzI_WST,Ceramic Vessel,Decorated,Orangeware,BO,AzI,DBowl,Western,TOTAL,,AzI,FALSE
BO_AzI_IND,Ceramic Vessel,Decorated,Orangeware,BO,AzI,Indet,Indet,,,AzI,FALSE
BO_AzI_TOT,Ceramic Vessel,Decorated,Orangeware,BO,AzI,DMBowl,,,,AzI,TRUE
BO_PDM_A,Ceramic Vessel,Decorated,Orangeware,BO,AzII,PDM,A,Indet,Indet,EA,FALSE
BO_PDM_A1,Ceramic Vessel,Decorated,Orangeware,BO,AzII,PDM,A,1,Indet,EA,FALSE
BO_PDM_A2,Ceramic Vessel,Decorated,Orangeware,BO,AzII,PDM,A,2,Indet,EA,FALSE
BO_PDM_A3,Ceramic Vessel,Decorated,Orangeware,BO,AzII,PDM,A,3,Indet,EA,FALSE
BO_PDM_A1c,Ceramic Vessel,Decorated,Orangeware,BO,AzII,PDM,A,1,Caligraphic,EA,FALSE
BO_PDM_A2c,Ceramic Vessel,Decorated,Orangeware,BO,AzII,PDM,A,2,Caligraphic,EA,FALSE
BO_PDM_A3c,Ceramic Vessel,Decorated,Orangeware,BO,AzII,PDM,A,3,Caligraphic,EA,FALSE
BO_PDM_A1g,Ceramic Vessel,Decorated,Orangeware,BO,AzII,PDM,A,1,Geometric,EA,FALSE
BO_PDM_A2g,Ceramic Vessel,Decorated,Orangeware,BO,AzII,PDM,A,2,Geometric,EA,FALSE
BO_PDM_A3g,Ceramic Vessel,Decorated,Orangeware,BO,AzII,PDM,A,3,Geometric,EA,FALSE
BO_PDM_A1_TOT,Ceramic Vessel,Decorated,Orangeware,BO,AzII,PDM,A,1,,EA,TRUE
BO_PDM_A2_TOT,Ceramic Vessel,Decorated,Orangeware,BO,AzII,PDM,A,2,,EA,TRUE
BO_PDM_A3_TOT,Ceramic Vessel,Decorated,Orangeware,BO,AzII,PDM,A,3,,EA,TRUE
BO_PDM_Ac_TOT,Ceramic Vessel,Decorated,Orangeware,BO,AzII,PDM,A,,Caligraphic,EA,TRUE
BO_PDM_Ag_TOT,Ceramic Vessel,Decorated,Orangeware,BO,AzII,PDM,A,,Geometric,EA,TRUE
BO_PDM_A_TOT,Ceramic Vessel,Decorated,Orangeware,BO,AzII,PDM,A,,,EA,TRUE
BO_PDM_B,Ceramic Vessel,Decorated,Orangeware,BO,AzII,PDM,B,Indet,Geometric,EA,FALSE
BO_PDM_B1,Ceramic Vessel,Decorated,Orangeware,BO,AzII,PDM,B,1,Geometric,EA,FALSE
BO_PDM_B2,Ceramic Vessel,Decorated,Orangeware,BO,AzII,PDM,B,2,Geometric,EA,FALSE
BO_PDM_B_TOT,Ceramic Vessel,Decorated,Orangeware,BO,AzII,PDM,B,,Geometric,EA,TRUE
BO_PD_C,Ceramic Vessel,Decorated,Orangeware,BO,AzII,PD,C,,Geometric,EA,FALSE
BO_PDM_IND_EA,Ceramic Vessel,Decorated,Orangeware,BO,AzII,PDM,EA Indet,,,EA,FALSE
BO_BOWL_A,Ceramic Vessel,Decorated,Orangeware,BO,AzII,Bowl,A,Indet,,EA,FALSE
BO_BOWL_A1,Ceramic Vessel,Decorated,Orangeware,BO,AzII,Bowl,A,1,,EA,FALSE
BO_BOWL_A2,Ceramic Vessel,Decorated,Orangeware,BO,AzII,Bowl,A,2,,EA,FALSE
BO_BOWL_A3,Ceramic Vessel,Decorated,Orangeware,BO,AzII,Bowl,A,3,,EA,FALSE
BO_BOWL_A4,Ceramic Vessel,Decorated,Orangeware,BO,AzII,Bowl,A,4,,EA,FALSE
BO_BOWL_A_TOT,Ceramic Vessel,Decorated,Orangeware,BO,AzII,Bowl,A,,,EA,TRUE
BO_BOWL_B,Ceramic Vessel,Decorated,Orangeware,BO,AzII,Bowl,B,,,EA,FALSE
BO_BOWL_C,Ceramic Vessel,Decorated,Orangeware,BO,AzII,Bowl,C,,,EA,FALSE
