Pars_Class,HM_Incl,PlainDec,Ware,Complex,Type,Subtype,Form,Parsons_HM_Agg,HM_Classes_Par
BO_AzI,TRUE,Decorated,Orangeware,AzI,BO,,DMBowl,BO_AzI,BO_AzI_TOT
BO_BAS_Incv_A,TRUE,Decorated,Orangeware,EA,BO,,Basin,BO_BAS_A,BO_BAS_A
BO_BAS_Incv_B,TRUE,Decorated,Orangeware,EA,BO,,Basin,BO_BAS_B,BO_BAS_B
BO_BAS_Incv_C,TRUE,Decorated,Orangeware,EA,BO,,Basin,BO_BAS_C,BO_BAS_C
BO_BAS_Incv_D,TRUE,Decorated,Orangeware,LA,BO,,Basin,BO_BAS_D,BO_BAS_D
BO_BAS_Incv_E,TRUE,Decorated,Orangeware,LA,BO,,Basin,BO_BAS_E,BO_BAS_E
BO_BAS_Incv_EA_Indet,TRUE,Decorated,Orangeware,EA,BO,,Basin,BO_BAS_IND_LA,BO_BAS_IND_LA
BO_BAS_Incv_Indet,TRUE,Decorated,Orangeware,AZ,BO,,Basin,BO_BAS_IND,BO_BAS_IND
BO_BAS_Incv_LA_Indet,TRUE,Decorated,Orangeware,LA,BO,,Basin,BO_BAS_IND_EA,BO_BAS_IND_EA
BO_BAS_Upr_A,TRUE,Decorated,Orangeware,EA,BO,,Basin,BO_BAS_A,BO_BAS_A
BO_BAS_Upr_B,TRUE,Decorated,Orangeware,EA,BO,,Basin,BO_BAS_B,BO_BAS_B
BO_BAS_Upr_C,TRUE,Decorated,Orangeware,EA,BO,,Basin,BO_BAS_C,BO_BAS_C
BO_BAS_Upr_D,TRUE,Decorated,Orangeware,LA,BO,,Basin,BO_BAS_D,BO_BAS_D
BO_BAS_Upr_E,TRUE,Decorated,Orangeware,LA,BO,,Basin,BO_BAS_E,BO_BAS_E
BO_BAS_Upr_EA_Indet,TRUE,Decorated,Orangeware,EA,BO,,Basin,BO_BAS_IND_EA,BO_BAS_IND_EA
BO_BAS_Upr_F,TRUE,Decorated,Orangeware,AzIV,BO,,Basin,BO_BAS_F,BO_BAS_F
BO_BAS_Upr_Indet,TRUE,Decorated,Orangeware,AZ,BO,,Basin,BO_BAS_IND,BO_BAS_IND
BO_BAS_Upr_LA_Indet,TRUE,Decorated,Orangeware,LA,BO,,Basin,BO_BAS_IND_LA,BO_BAS_IND_LA
BO_BOWL_Incv_A,TRUE,Decorated,Orangeware,EA,BO,,Bowl,BO_BOWL_A,BO_BOWL_A_TOT
BO_BOWL_Incv_B,TRUE,Decorated,Orangeware,EA,BO,,Bowl,BO_BOWL_A,BO_BOWL_A_TOT
BO_BOWL_Incv_C,TRUE,Decorated,Orangeware,EA,BO,,Bowl,BO_BOWL_C,BO_BOWL_C
BO_BOWL_Incv_D,TRUE,Decorated,Orangeware,EA,BO,,Bowl,BO_BOWL_C,BO_BOWL_C
BO_BOWL_Incv_E,TRUE,Decorated,Orangeware,EA,BO,,Bowl,BO_BOWL_C,BO_BOWL_C
BO_BOWL_Incv_EA_Indet,TRUE,Decorated,Orangeware,EA,BO,,Bowl,BO_BOWL_IND_EA,BO_BOWL_IND_EA
BO_BOWL_Incv_F,TRUE,Decorated,Orangeware,LA,BO,,Bowl,BO_BOWL_F,BO_BOWL_F
BO_BOWL_Incv_G,TRUE,Decorated,Orangeware,LA,BO,,Bowl,BO_BOWL_DE,BO_BOWL_DE
BO_BOWL_Incv_Indet,TRUE,Decorated,Orangeware,AZ,BO,,Bowl,BO_BOWL_IND,BO_BOWL_IND
BO_BOWL_Incv_LA_Indet,TRUE,Decorated,Orangeware,LA,BO,,Bowl,BO_BOWL_IND_LA,BO_BOWL_IND_LA
BO_BOWL_Recurv,TRUE,Decorated,Orangeware,AZ,BO,,Bowl,,
BO_BOWL_Upr_A,TRUE,Decorated,Orangeware,EA,BO,,Bowl,BO_BOWL_A,BO_BOWL_A_TOT
BO_BOWL_Upr_B,TRUE,Decorated,Orangeware,EA,BO,,Bowl,BO_BOWL_B,BO_BOWL_B
BO_BOWL_Upr_C,TRUE,Decorated,Orangeware,EA,BO,,Bowl,BO_BOWL_C,BO_BOWL_C
BO_BOWL_Upr_D,TRUE,Decorated,Orangeware,LA,BO,,Bowl,BO_BOWL_D,BO_BOWL_D
